name,link,description,date_time,date
Interview: Rithm Grads at Google,/blog/grads-at-google,"<p>We love staying in touch with our grads throughout their careers. This week, we caught up with Harry Teplow (Rithm’s 16th cohort, aka r16) and Lucas Pagac (r19), who recently landed jobs with Google. They shared with us their journey from bootcamp grad to new engineer to Google engineer, and the things they found helpful along the way.</p>",2022-05-27 14:33:30 UTC,"May 27, 2022"
Three Rithm Students Accepted to the 2022 Pinterest Engineering Internship,/blog/pinterest-internship,"<p>With over 1000 applicants this year, the Pinterest Apprenticeship Program is a highly competitive opportunity for software engineers from non-traditional backgrounds (like bootcamp grads) to experience engineering at Pinterest. Apprenticeships are up to one year long with the opportunity to be considered for conversion to a full-time engineer. We’re thrilled to announce that of the 23 people accepted as Pinterns this year, 3 are Rithm grads! We took a few minutes to chat with Vanessa Cheng, Kimberly Lin, and Jenny Liu (all from Rithm’s 23rd cohort) about their experience applying for the role and what their time at Pinterest has been like so far.</p>",2022-05-13 15:59:12 UTC,"May 13, 2022"
The Top 5 Questions People Ask About Rithm School,/blog/top-5-admissions-questions,"<p>Taking the dive into a coding bootcamp is a big commitment, and it’s important that you have all the information available to you before you decide whether it’s right for you. At Rithm School, we take the time to talk to each individual prospective student so that you can put a human face to our team and learn about the people who you’ll be working with. That process begins with admissions calls, where you’ll have the opportunity to ask any questions about our program that you might have. While every call is different, there are common questions that you may have when beginning your bootcamp search.</p>",2022-03-21 14:02:41 UTC,"March 21, 2022"
Announcing Rithm's 2022 Scholarship Fund,/blog/2022-scholarship,"<p>One of Rithm's missions is to help make the tech world a more representative place. We believe that greater diversity in the backgrounds of programmers leads to stronger organizations, more creative thinking, and has the power to change the world for the better.  </p>",2021-12-08 14:55:46 UTC,"December 08, 2021"
October 2021 Women's Scholarship Fund,/blog/october-2021-womens-scholarship-fund,"<p>We have seen the value in providing scholarships to highly motivated web development students over the course of our tenure. The first official scholarship we offered was in late 2016, where we awarded 50% of tuition costs to mission-driven individuals with a positive impact on their community. Since then we have offered many partial scholarships based on merit and need.</p>",2021-08-18 20:38:59 UTC,"August 18, 2021"
R19: 100% Outcomes Within 4 Months Of Graduating,/blog/r19-100-outcomes-within-4-months-of-graduating,"<p dir=""ltr"">Everything we do at Rithm School aims to take our independent and thoughtful students and turn them into confident and creative full-stack developers. For over four years, we have prepared and watched our graduates gain employment in the software engineering industry. In 2020, while facing the unprecedented COVID-19 pandemic, our students continued to put in hard work and secure their dream jobs. Our 19th cohort not only continued our outcomes streak, but blew it out of the water with 100% of job seekers securing full-time employment within 4 months of graduating.</p>",2021-07-13 21:21:05 UTC,"July 13, 2021"
Student Interview: R20 On Remote Company Projects ,/blog/student-interview-clever-counsel-company-projects,"<p>At Rithm, we believe that one of the best ways to prepare students for jobs as web developers is by giving them opportunities to work on real-world projects. Working on personal projects can be fun, but working in a team or on an existing code base gives students insights into the day-to-day challenges of a developer that they might not otherwise learn. One of the company projects our 20th cohort is completing is a web application that streamlines the process of workers making wage dispute claims against their employers.<strong> </strong>We asked two of our students, Julia and Kathrin, to share their experience working together with us:</p>",2021-05-25 23:55:52 UTC,"May 25, 2021"
Good Ideas for Better Variable Names,/blog/good-ideas-for-better-variable-names,"<p dir=""ltr"">A large part of professional programming is communicating clearly with other developers: almost no serious software projects are written by a single author, and it's common for dozens of programmers to be able to understand your code.</p>",2021-05-04 21:10:26 UTC,"May 04, 2021"
TypeScript: How To Get Started,/blog/typescript-how-to-get-started,"<p>TypeScript is a language extention to JavaScript that is so hot right now. Looking at the <a href=""https://insights.stackoverflow.com/survey/2020#overview"">2020 developer survey</a> from stack overflow, you can see that TypeScript continues to gain ground in both popularity and love for the language. If you're new to the JavaScript world and still trying to get a handle on the basics, then you may be wondering what TypeScript is useful for and when you should learn it? We'll try to explore what TypeScript is in this blog post and discuss when is a good time to start incorporating it into what you are learning.</p>",2021-04-21 17:07:39 UTC,"April 21, 2021"
3 Patterns for Refactoring Your Code,/blog/three-simple-patterns-for-refactoring-your-code,"<p>When I review code written by people who are relatively new to programming, I find myself often repeating the same advice. There are many patterns we adopt as we learn to code that we have to unlearn or modify once we become more comfortable with the fundamentals. In this post, I'd like to highlight three common patterns I see, and how you can refactor them to write code that is more readable, and often more concise.</p>",2021-04-12 16:28:16 UTC,"April 12, 2021"
